filename,category,caption
animales/bird.jpg,Animals,"A colorful bird, green, blue, and purple with brown wings and blurred background"
animales/cat.jpg,Animals,"an orange, brown and white cat on top of a wooden table"
animales/dog.jpg,Animals,"A big black and brown dog lying in a field with its tongue out"
animales/snake.jpg,Animals,"A snake with yellow and black scales, seen up close, with a blurred brown background."
animales/rabbit.jpg,Animals,"a light brown rabbit in a green field"
colores/yellow.jpg,Colors,"a photo of the color yellow"
colores/red.jpg,Colors,"a photo of the color red"
colores/pink.jpg,Colors,"a photo of the color pink"
colores/green.jpg,Colors,"a photo of the color green"
colores/blue.jpg,Colors,"a photo of the color blue"
ropa/jacket.jpg,Clothes,"An orange blazer hanging on a hanger"
ropa/shoes.jpg,Clothes,"A pair of dark blue sneakers on a white surface"
ropa/t_shirt.jpg,Clothes,"A black T-shirt hanging on a hanger"
ropa/hat.jpg,Clothes,"A beige hat with a black ribbon, on a gray board with a blurred blue and green background"
ropa/trousers.jpg,Clothes,"a pair of green trousers held by four hands"
colegio/calculator.jpg,School,"A scientific  calculator on a wooden surface."
colegio/school_bag.jpg,School,"A black backpack being held by one hand with a white background."
colegio/pencil.jpg,School,"An orange and red wooden pencil on white surface."
colegio/clock.jpg,School,"A  clock with colorful numbers on yellow background."
colegio/eraser.jpg,School,"A red and blue eraser on white background."